method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
S2-lasso,5,5000,0.0,0.0,0.0,,0,0.0,0.01654195785522461,0.6428,0.3572,200,0.04129084485558134
S2-knn,5,5000,61366.95611709985,12.27339122341997,12.27339122341997,,0,0.0,0.016292095184326172,0.9302,0.0698,200,0.045102968595256455
random,6,5000,10020.33823943477,2.004067647886954,2.004067647886954,,0,0.0,0.02409815788269043,0.502,0.498,200,0.0443782875492678
treat_all,6,5000,10732678.350417584,2146.535670083517,1866.2327028010166,,1086,0.2172,0.014081954956054688,0.0,1.0,200,0.04811333098626983
F,6,5000,2.028285632769517,0.00040565712655390345,0.00040565712655390345,,0,0.0,0.01672506332397461,0.572,0.428,200,0.047332573962992716
S2-linear,6,5000,0.0,0.0,0.0,,0,0.0,0.016687870025634766,0.6934,0.3066,200,0.04277503167255868
S2-lasso,6,5000,0.0,0.0,0.0,,0,0.0,0.016814708709716797,0.6196,0.3804,200,0.04129084485558134
S2-knn,6,5000,2379.047887762944,0.4758095775525888,0.4758095775525888,,0,0.0,0.016760826110839844,0.9342,0.0658,200,0.045102968595256455
random,7,5000,144785.44774397917,28.95708954879583,28.95708954879583,,0,0.0,0.023754119873046875,0.4952,0.5048,200,0.0443782875492678
treat_all,7,5000,11147298.037864532,2229.4596075729064,1867.9362234600155,,1392,0.2784,0.01387786865234375,0.0,1.0,200,0.04811333098626983
F,7,5000,112.92809603854556,0.02258561920770911,0.02258561920770911,,0,0.0,0.016768932342529297,0.578,0.422,200,0.047332573962992716
S2-linear,7,5000,59.75901249984899,0.0119518024999698,0.0119518024999698,,0,0.0,0.016476869583129883,0.7174,0.2826,200,0.04277503167255868
S2-lasso,7,5000,2.461637083090453,0.0004923274166180906,0.0004923274166180906,,0,0.0,0.016354084014892578,0.6458,0.3542,200,0.04129084485558134
S2-knn,7,5000,89.56616616170953,0.017913233232341907,0.017913233232341907,,0,0.0,0.016417741775512695,0.9294,0.0706,200,0.045102968595256455
random,8,5000,44571.148407122615,8.914229681424523,8.914229681424523,,0,0.0,0.023725032806396484,0.5012,0.4988,200,0.0443782875492678
treat_all,8,5000,11103986.520306807,2220.7973040613615,1914.2402486639824,,1267,0.2534,0.013934135437011719,0.0,1.0,200,0.04811333098626983
F,8,5000,1.2996874179908051,0.00025993748359816104,0.00025993748359816104,,0,0.0,0.016395092010498047,0.5886,0.4114,200,0.047332573962992716
S2-linear,8,5000,0.9004196251507015,0.0001800839250301403,0.0001800839250301403,,0,0.0,0.01676201820373535,0.7058,0.2942,200,0.04277503167255868
S2-lasso,8,5000,0.7926722744706318,0.00015853445489412635,0.00015853445489412635,,0,0.0,0.016761064529418945,0.6448,0.3552,200,0.04129084485558134
S2-knn,8,5000,264.7637985373318,0.05295275970746636,0.05295275970746636,,0,0.0,0.016618967056274414,0.94,0.06,200,0.045102968595256455
random,9,5000,3625.786746453152,0.7251573492906304,0.7251573492906304,,0,0.0,0.02382683753967285,0.5012,0.4988,200,0.0443782875492678
treat_all,9,5000,10792290.742281483,2158.458148456297,1867.6278783204182,,1173,0.2346,0.014004945755004883,0.0,1.0,200,0.04811333098626983
F,9,5000,525.742752438879,0.10514855048777581,0.10514855048777581,,0,0.0,0.016649961471557617,0.597,0.403,200,0.047332573962992716
S2-linear,9,5000,0.23649323702263736,4.729864740452747e-05,4.729864740452747e-05,,0,0.0,0.016738176345825195,0.7086,0.2914,200,0.04277503167255868
S2-lasso,9,5000,0.0,0.0,0.0,,0,0.0,0.01672506332397461,0.6376,0.3624,200,0.04129084485558134
S2-knn,9,5000,3128.998658298259,0.6257997316596519,0.6257997316596519,,0,0.0,0.01642012596130371,0.941,0.059,200,0.045102968595256455
random,10,5000,50075.80022000923,10.015160044001846,10.015160044001846,,0,0.0,0.02376389503479004,0.5032,0.4968,200,0.0443782875492678
treat_all,10,5000,11101948.75236157,2220.389750472314,1910.9504598892534,,1238,0.2476,0.013927936553955078,0.0,1.0,200,0.04811333098626983
F,10,5000,9.663492916568162,0.0019326985833136323,0.0019326985833136323,,0,0.0,0.016733884811401367,0.5824,0.4176,200,0.047332573962992716
S2-linear,10,5000,1.052397044794387,0.00021047940895887738,0.00021047940895887738,,0,0.0,0.0166628360748291,0.7066,0.2934,200,0.04277503167255868
S2-lasso,10,5000,2.174844794977595,0.000434968958995519,0.000434968958995519,,0,0.0,0.016681909561157227,0.6454,0.3546,200,0.04129084485558134
S2-knn,10,5000,6944.313575335862,1.3888627150671724,1.3888627150671724,,0,0.0,0.016405820846557617,0.9368,0.0632,200,0.045102968595256455
random,11,5000,0.9738784306367245,0.0001947756861273449,0.0001947756861273449,,0,0.0,0.02412581443786621,0.5032,0.4968,200,0.0443782875492678
treat_all,11,5000,10574783.867560476,2114.9567735120954,1820.2858302277305,,1079,0.2158,0.01426076889038086,0.0,1.0,200,0.04811333098626983
F,11,5000,0.008219967164826869,1.6439934329653738e-06,1.6439934329653738e-06,,0,0.0,0.016924381256103516,0.586,0.414,200,0.047332573962992716
S2-linear,11,5000,1.8214064738618987,0.00036428129477237973,0.00036428129477237973,,0,0.0,0.016947031021118164,0.707,0.293,200,0.04277503167255868
S2-lasso,11,5000,6.323202914621639,0.0012646405829243278,0.0012646405829243278,,0,0.0,0.01691913604736328,0.6488,0.3512,200,0.04129084485558134
S2-knn,11,5000,55.1771494278553,0.01103542988557106,0.01103542988557106,,0,0.0,0.016613245010375977,0.9342,0.0658,200,0.045102968595256455
random,12,5000,16724.893283052887,3.3449786566105773,3.3449786566105773,,0,0.0,0.023633718490600586,0.505,0.495,200,0.0443782875492678
treat_all,12,5000,10248718.642717835,2049.7437285435667,1769.7491542917878,,1090,0.218,0.013934135437011719,0.0,1.0,200,0.04811333098626983
F,12,5000,9.535999710350984,0.0019071999420701966,0.0019071999420701966,,0,0.0,0.016646146774291992,0.5962,0.4038,200,0.047332573962992716
S2-linear,12,5000,9.040361682319787,0.0018080723364639574,0.0018080723364639574,,0,0.0,0.017189741134643555,0.7044,0.2956,200,0.04277503167255868
S2-lasso,12,5000,7.141630172977187,0.0014283260345954376,0.0014283260345954376,,0,0.0,0.016560077667236328,0.6488,0.3512,200,0.04129084485558134
