method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,alloc_2,alloc_3,alloc_4,alloc_5,alloc_6,alloc_7,alloc_8,alloc_9,N
F,3,5000,1427941.589170441,285.58831783408823,285.58831783408823,12.05476353011028,0,0.0,0.017117977142333984,0.0986,0.1038,0.1208,0.1234,0.1078,0.0474,0.066,0.1362,0.1198,0.0762,200
oracle_greedy_no_cap,3,5000,17712669.29646945,3542.53385929389,1588.9845482524986,45.47031236060245,3306,0.6612,0.01659083366394043,0.0,0.8176,0.0114,0.0182,0.0218,0.0248,0.0254,0.022,0.0252,0.0336,200
S2-linear,3,5000,1079027.3874048647,215.80547748097294,215.80547748097294,12.870735910555517,0,0.0,0.017078876495361328,0.091,0.1334,0.0826,0.1186,0.0964,0.0704,0.1002,0.1176,0.0914,0.0984,200
S2-lasso,3,5000,17585178.50789019,3517.0357015780382,1532.239319526875,3.815561629825219,3327,0.6654,0.016927003860473633,0.0,0.0,0.0,0.0976,0.8224,0.0,0.0,0.08,0.0,0.0,200
S2-knn,3,5000,1568208.1344580422,313.64162689160844,313.64162689160844,15.29290272451455,0,0.0,0.017281055450439453,0.0978,0.1454,0.087,0.1274,0.0802,0.0894,0.0918,0.1194,0.0562,0.1054,200
F,4,5000,1697586.4455559256,339.5172891111851,339.5172891111851,10.939303755351576,0,0.0,0.017202138900756836,0.0984,0.0974,0.1136,0.123,0.1182,0.043,0.065,0.1362,0.1256,0.0796,200
oracle_greedy_no_cap,4,5000,17484391.21008525,3496.87824201705,1470.0164807865485,44.30446151690269,3319,0.6638,0.016540050506591797,0.0,0.8144,0.0106,0.016,0.0202,0.0258,0.0252,0.0278,0.028,0.032,200
S2-linear,4,5000,888612.5283936317,177.72250567872635,177.72250567872635,11.933787113126025,0,0.0,0.016984939575195312,0.1022,0.127,0.0772,0.1088,0.1028,0.0706,0.0958,0.1188,0.097,0.0998,200
S2-lasso,4,5000,17862092.35380016,3572.4184707600316,1476.0667406214961,3.8100611104973505,3383,0.6766,0.01644301414489746,0.0,0.0,0.0,0.0998,0.8232,0.0,0.0,0.077,0.0,0.0,200
S2-knn,4,5000,1437924.69006525,287.58493801305,287.58493801305,15.152809619334585,0,0.0,0.01701188087463379,0.1034,0.1438,0.0894,0.1258,0.0888,0.0832,0.0968,0.1106,0.0588,0.0994,200
