method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
S2-knn,11,5000,1.2944489657872307,0.00025888979315744613,0.00025888979315744613,,0,0.0,0.015559911727905273,0.7548,0.2452,200,0.04494258989303332
random,12,5000,16222.380724490788,3.2444761448981576,3.2444761448981576,,0,0.0,0.022074222564697266,0.505,0.495,200,0.04337750741873452
treat_all,12,5000,10246008.87149598,2049.201774299196,1769.0561181736666,,1090,0.218,0.01389169692993164,0.0,1.0,200,0.04687417834476838
F,12,5000,24.313370530985566,0.004862674106197113,0.004862674106197113,,0,0.0,0.015377998352050781,0.5304,0.4696,200,0.04392541735135207
S2-linear,12,5000,297865.92836223333,59.57318567244667,59.57318567244667,,0,0.0,0.01506495475769043,0.4492,0.5508,200,0.04519950416524283
S2-lasso,12,5000,67.19252045895401,0.013438504091790801,0.013438504091790801,,0,0.0,0.015301942825317383,0.7574,0.2426,200,0.045202667490557805
S2-knn,12,5000,57.32578635993489,0.011465157271986978,0.011465157271986978,,0,0.0,0.015258073806762695,0.7532,0.2468,200,0.04494258989303332
random,13,5000,145194.06632915683,29.038813265831365,29.038813265831365,,0,0.0,0.021904945373535156,0.4928,0.5072,200,0.04337750741873452
treat_all,13,5000,10951082.917991996,2190.216583598399,1897.3505941963003,,1217,0.2434,0.013811349868774414,0.0,1.0,200,0.04687417834476838
F,13,5000,6.673669035333675,0.001334733807066735,0.001334733807066735,,0,0.0,0.01534581184387207,0.517,0.483,200,0.04392541735135207
S2-linear,13,5000,388454.071341398,77.6908142682796,77.6908142682796,,0,0.0,0.015080928802490234,0.4648,0.5352,200,0.04519950416524283
S2-lasso,13,5000,4.829666974950353,0.0009659333949900706,0.0009659333949900706,,0,0.0,0.015212774276733398,0.7508,0.2492,200,0.045202667490557805
S2-knn,13,5000,4.874198012799059,0.0009748396025598119,0.0009748396025598119,,0,0.0,0.015208959579467773,0.747,0.253,200,0.04494258989303332
random,14,5000,9027.32747970351,1.805465495940702,1.805465495940702,,0,0.0,0.022084712982177734,0.493,0.507,200,0.04337750741873452
treat_all,14,5000,10670735.024763152,2134.1470049526306,1829.8063458767647,,1208,0.2416,0.01389002799987793,0.0,1.0,200,0.04687417834476838
F,14,5000,39.47104608157729,0.007894209216315458,0.007894209216315458,,0,0.0,0.015305042266845703,0.5426,0.4574,200,0.04392541735135207
S2-linear,14,5000,478957.74092605506,95.79154818521101,95.79154818521101,,0,0.0,0.015086889266967773,0.4596,0.5404,200,0.04519950416524283
S2-lasso,14,5000,39.605458573838575,0.007921091714767715,0.007921091714767715,,0,0.0,0.015236139297485352,0.7682,0.2318,200,0.045202667490557805
S2-knn,14,5000,39.605458573838575,0.007921091714767715,0.007921091714767715,,0,0.0,0.015744924545288086,0.747,0.253,200,0.04494258989303332
random,15,5000,308.50361490824935,0.06170072298164987,0.06170072298164987,,0,0.0,0.022027015686035156,0.5086,0.4914,200,0.04337750741873452
treat_all,15,5000,10740522.060297873,2148.1044120595748,1819.451622608164,,1272,0.2544,0.013834238052368164,0.0,1.0,200,0.04687417834476838
F,15,5000,18.193678992745195,0.003638735798549039,0.003638735798549039,,0,0.0,0.015162944793701172,0.5262,0.4738,200,0.04392541735135207
S2-linear,15,5000,532289.6385662023,106.45792771324045,106.45792771324045,,0,0.0,0.014880895614624023,0.4508,0.5492,200,0.04519950416524283
S2-lasso,15,5000,24.88327278728851,0.004976654557457702,0.004976654557457702,,0,0.0,0.015048027038574219,0.7518,0.2482,200,0.045202667490557805
S2-knn,15,5000,12.279695551136916,0.002455939110227383,0.002455939110227383,,0,0.0,0.015048027038574219,0.7396,0.2604,200,0.04494258989303332
random,16,5000,45483.32519409308,9.096665038818616,9.096665038818616,,0,0.0,0.02195882797241211,0.504,0.496,200,0.04337750741873452
treat_all,16,5000,10779761.526010431,2155.9523052020863,1822.6785935527378,,1287,0.2574,0.013899803161621094,0.0,1.0,200,0.04687417834476838
F,16,5000,0.0,0.0,0.0,,0,0.0,0.015216827392578125,0.5426,0.4574,200,0.04392541735135207
S2-linear,16,5000,700642.5068806432,140.12850137612864,140.12850137612864,,0,0.0,0.015115022659301758,0.4544,0.5456,200,0.04519950416524283
S2-lasso,16,5000,0.0,0.0,0.0,,0,0.0,0.015458106994628906,0.762,0.238,200,0.045202667490557805
S2-knn,16,5000,0.0,0.0,0.0,,0,0.0,0.015537261962890625,0.7482,0.2518,200,0.04494258989303332
random,17,5000,80432.61482046399,16.086522964092797,16.086522964092797,,0,0.0,0.02240896224975586,0.4952,0.5048,200,0.04337750741873452
treat_all,17,5000,10832392.73367557,2166.478546735114,1865.1878907073917,,1226,0.2452,0.013976097106933594,0.0,1.0,200,0.04687417834476838
F,17,5000,459.2924770286242,0.09185849540572484,0.09185849540572484,,0,0.0,0.015475988388061523,0.5394,0.4606,200,0.04392541735135207
S2-linear,17,5000,392891.20799662085,78.57824159932417,78.57824159932417,,0,0.0,0.015249013900756836,0.468,0.532,200,0.04519950416524283
