method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_train,ipw_val
S2-knn,14,5000,87.17571577805332,0.017435143155610663,0.017435143155610663,,0,0.0,0.015696048736572266,0.8876,0.1124,100,0.011759453404257705,0.040641399606895605
random,15,5000,681.0811371785778,0.13621622743571557,0.13621622743571557,,0,0.0,0.023513078689575195,0.5086,0.4914,100,0.07790736411159031,0.04416676790791181
treat_all,15,5000,10753558.64072432,2150.711728144864,1821.38882357372,,1275,0.255,0.013865947723388672,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,15,5000,5.330621447034522,0.0010661242894069044,0.0010661242894069044,,0,0.0,0.015911340713500977,0.65,0.35,100,0.07790736411159031,0.04205926415253394
S2-linear,15,5000,399.66768041218006,0.07993353608243602,0.07993353608243602,,0,0.0,0.01588296890258789,0.547,0.453,100,0.07790736411159031,0.04294744321769962
S2-lasso,15,5000,435397.44345953286,87.07948869190658,87.07948869190658,,0,0.0,0.015115976333618164,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,15,5000,23238.76220978551,4.647752441957102,4.647752441957102,,0,0.0,0.015572071075439453,0.9006,0.0994,100,0.011759453404257705,0.040641399606895605
random,16,5000,45483.32519409308,9.096665038818616,9.096665038818616,,0,0.0,0.023405075073242188,0.504,0.496,100,0.07790736411159031,0.04416676790791181
treat_all,16,5000,10779761.526010431,2155.9523052020863,1822.6785935527378,,1287,0.2574,0.01394200325012207,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,16,5000,0.0,0.0,0.0,,0,0.0,0.015932321548461914,0.6668,0.3332,100,0.07790736411159031,0.04205926415253394
S2-linear,16,5000,0.0,0.0,0.0,,0,0.0,0.016028881072998047,0.5472,0.4528,100,0.07790736411159031,0.04294744321769962
S2-lasso,16,5000,33663.006933143064,6.7326013866286125,6.7326013866286125,,0,0.0,0.01553201675415039,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,16,5000,0.0,0.0,0.0,,0,0.0,0.015724658966064453,0.891,0.109,100,0.011759453404257705,0.040641399606895605
random,17,5000,80432.61482046399,16.086522964092797,16.086522964092797,,0,0.0,0.02331686019897461,0.4952,0.5048,100,0.07790736411159031,0.04416676790791181
treat_all,17,5000,10832392.73367557,2166.478546735114,1865.1878907073917,,1226,0.2452,0.014052867889404297,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,17,5000,61.22703701844458,0.012245407403688915,0.012245407403688915,,0,0.0,0.016696929931640625,0.6458,0.3542,100,0.07790736411159031,0.04205926415253394
S2-linear,17,5000,546.9477584368501,0.10938955168737002,0.10938955168737002,,0,0.0,0.016183853149414062,0.5418,0.4582,100,0.07790736411159031,0.04294744321769962
S2-lasso,17,5000,37.964302585779514,0.007592860517155903,0.007592860517155903,,0,0.0,0.015938758850097656,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,17,5000,0.0,0.0,0.0,,0,0.0,0.01586604118347168,0.902,0.098,100,0.011759453404257705,0.040641399606895605
random,18,5000,843.3841588674084,0.16867683177348167,0.16867683177348167,,0,0.0,0.023725032806396484,0.4992,0.5008,100,0.07790736411159031,0.04416676790791181
treat_all,18,5000,10827497.699341783,2165.499539868357,1857.773555635367,,1200,0.24,0.013873100280761719,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,18,5000,1.8751766329178245,0.0003750353265835649,0.0003750353265835649,,0,0.0,0.015906095504760742,0.6626,0.3374,100,0.07790736411159031,0.04205926415253394
S2-linear,18,5000,0.9382751884995972,0.00018765503769991944,0.00018765503769991944,,0,0.0,0.01600790023803711,0.5572,0.4428,100,0.07790736411159031,0.04294744321769962
S2-lasso,18,5000,70607.75446799895,14.12155089359979,14.12155089359979,,0,0.0,0.015658140182495117,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,18,5000,134.26809150157595,0.026853618300315192,0.026853618300315192,,0,0.0,0.015802860260009766,0.8962,0.1038,100,0.011759453404257705,0.040641399606895605
random,19,5000,831.1340732961422,0.16622681465922845,0.16622681465922845,,0,0.0,0.02329397201538086,0.51,0.49,100,0.07790736411159031,0.04416676790791181
treat_all,19,5000,10867838.618111633,2173.5677236223264,1863.810589021497,,1264,0.2528,0.013705968856811523,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,19,5000,45.727241752437024,0.009145448350487405,0.009145448350487405,,0,0.0,0.015753984451293945,0.6548,0.3452,100,0.07790736411159031,0.04205926415253394
S2-linear,19,5000,162.69487551032788,0.032538975102065576,0.032538975102065576,,0,0.0,0.015932083129882812,0.5482,0.4518,100,0.07790736411159031,0.04294744321769962
S2-lasso,19,5000,593371.2877000051,118.67425754000102,118.67425754000102,,0,0.0,0.015166997909545898,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,19,5000,2478.980141287109,0.49579602825742175,0.49579602825742175,,0,0.0,0.01580214500427246,0.894,0.106,100,0.011759453404257705,0.040641399606895605
random,20,5000,1519.2050222499442,0.30384100444998885,0.30384100444998885,,0,0.0,0.023725032806396484,0.4854,0.5146,100,0.07790736411159031,0.04416676790791181
treat_all,20,5000,10447361.138452467,2089.472227690493,1788.2976870153013,,1179,0.2358,0.013932943344116211,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,20,5000,17.81582356365351,0.003563164712730702,0.003563164712730702,,0,0.0,0.015837907791137695,0.6554,0.3446,100,0.07790736411159031,0.04205926415253394
S2-linear,20,5000,165.44865900876277,0.03308973180175256,0.03308973180175256,,0,0.0,0.016038179397583008,0.5454,0.4546,100,0.07790736411159031,0.04294744321769962
S2-lasso,20,5000,146701.07341950352,29.340214683900705,29.340214683900705,,0,0.0,0.015092134475708008,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,20,5000,197.83200083763978,0.03956640016752796,0.03956640016752796,,0,0.0,0.015744924545288086,0.8964,0.1036,100,0.011759453404257705,0.040641399606895605
random,21,5000,1947.8678618255913,0.38957357236511825,0.38957357236511825,,0,0.0,0.02358698844909668,0.5036,0.4964,100,0.07790736411159031,0.04416676790791181
treat_all,21,5000,10467926.204162799,2093.58524083256,1774.7314513024066,,1234,0.2468,0.013861894607543945,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,21,5000,97.46169959505863,0.019492339919011725,0.019492339919011725,,0,0.0,0.015917062759399414,0.655,0.345,100,0.07790736411159031,0.04205926415253394
S2-linear,21,5000,613.2149256361599,0.12264298512723198,0.12264298512723198,,0,0.0,0.015897750854492188,0.5464,0.4536,100,0.07790736411159031,0.04294744321769962
S2-lasso,21,5000,42940.329507829796,8.58806590156596,8.58806590156596,,0,0.0,0.015501737594604492,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,21,5000,18.056576075125292,0.0036113152150250584,0.0036113152150250584,,0,0.0,0.015594005584716797,0.898,0.102,100,0.011759453404257705,0.040641399606895605
random,22,5000,6718.139289770094,1.3436278579540188,1.3436278579540188,,0,0.0,0.023313283920288086,0.502,0.498,100,0.07790736411159031,0.04416676790791181
treat_all,22,5000,10760406.514194548,2152.08130283891,1813.0362005462152,,1289,0.2578,0.013906002044677734,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,22,5000,49.80010312433257,0.009960020624866514,0.009960020624866514,,0,0.0,0.015765905380249023,0.6556,0.3444,100,0.07790736411159031,0.04205926415253394
S2-linear,22,5000,43.527862505860135,0.008705572501172027,0.008705572501172027,,0,0.0,0.016514062881469727,0.5388,0.4612,100,0.07790736411159031,0.04294744321769962
S2-lasso,22,5000,6310.760224184831,1.262152044836966,1.262152044836966,,0,0.0,0.015731096267700195,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,22,5000,157.24894529637004,0.03144978905927401,0.03144978905927401,,0,0.0,0.01567697525024414,0.8942,0.1058,100,0.011759453404257705,0.040641399606895605
random,23,5000,108810.66628302907,21.762133256605814,21.762133256605814,,0,0.0,0.023221969604492188,0.4944,0.5056,100,0.07790736411159031,0.04416676790791181
treat_all,23,5000,10927754.19801907,2185.550839603814,1876.675935366755,,1232,0.2464,0.013875007629394531,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,23,5000,0.0,0.0,0.0,,0,0.0,0.01599407196044922,0.6642,0.3358,100,0.07790736411159031,0.04205926415253394
